Image Name,MOS Score,Computation Time
101601008.jpg,4.577893504071857,0.0220 s
10164654253.jpg,4.832261531756642,0.0229 s
10164842933.jpg,4.383918673180246,0.0204 s
10169304416.jpg,4.768075537872475,0.0190 s
10173544123.jpg,4.94511599285111,0.0180 s
1017647143.jpg,4.616623351238712,0.0179 s
10177270623.jpg,4.932785815310063,0.0193 s
10177793964.jpg,4.855240828285951,0.0263 s
10178112894.jpg,4.936813693719271,0.0221 s
10178183416.jpg,4.888015196177384,0.0221 s
10178914656.jpg,4.574613057425785,0.0221 s
10183769356.jpg,4.329219840434603,0.0220 s
10186643874.jpg,4.93619057876084,0.0189 s
10186680555.jpg,4.912617295268562,0.0187 s
10186832194.jpg,4.92191928200384,0.0180 s
10187102065.jpg,4.941870387727376,0.0186 s
10187522803.jpg,4.957011341756234,0.0172 s
10191607755.jpg,4.434578897561586,0.0230 s
10196228605.jpg,4.850931566040979,0.0231 s
10203647273.jpg,4.595325113262192,0.0230 s
10205220286.jpg,4.954577137913431,0.0240 s
10206674394.jpg,4.911704991651507,0.0209 s
10207172624.jpg,4.428748942501167,0.0199 s
10209014225.jpg,4.563550432974195,0.0201 s
10209917915.jpg,4.961068348160901,0.0180 s
10211880874.jpg,4.9602569468799675,0.0183 s
10213881683.jpg,4.948361597974846,0.0190 s
10218118033.jpg,4.797980873285181,0.0200 s
10221144393.jpg,4.938624782603641,0.0220 s
10224586444.jpg,4.94976698621875,0.0232 s
10226277514.jpg,4.911805893987627,0.0203 s
10226524916.jpg,4.929975038822255,0.0210 s
10227210045.jpg,4.5581462943165425,0.0200 s
10241630856.jpg,4.13829227937981,0.0184 s
10241895785.jpg,4.755745360331426,0.0180 s
10244314384.jpg,4.961879749441835,0.0175 s
10244715656.jpg,4.854270268677974,0.0185 s
10246311914.jpg,4.925374496622677,0.0228 s
10246318724.jpg,4.9511723744626535,0.0246 s
10258169584.jpg,4.856704472520775,0.0270 s
10260190424.jpg,4.534877809128611,0.0242 s
1026198859.jpg,4.690689709175406,0.0241 s
10262588616.jpg,4.96041610520701,0.0204 s
10264804094.jpg,4.848213887066429,0.0207 s
10264984793.jpg,4.6006923191015225,0.0247 s
10265315316.jpg,4.793170721590499,0.0191 s
10265809113.jpg,4.551191127437686,0.0220 s
10273804555.jpg,4.376101143540756,0.0269 s
10278246465.jpg,4.755485299668264,0.0260 s
1027833701.jpg,4.854111110350932,0.0231 s
10279904885.jpg,4.955388539194365,0.0202 s
10280683815.jpg,4.960039532562004,0.0220 s
10280835505.jpg,4.934626032189893,0.0210 s
102825508.jpg,4.790895676074742,0.0234 s
10283619534.jpg,4.829450755268834,0.0184 s
10287677265.jpg,4.880553426321939,0.0191 s
10289468185.jpg,4.905155525413115,0.0231 s
10290759976.jpg,4.578545747025749,0.0225 s
1029470257.jpg,4.718277352727153,0.0221 s
10295875445.jpg,4.874062216074469,0.0210 s
10296038236.jpg,4.963067723367775,0.0190 s
10299438733.jpg,4.926729433698521,0.0190 s
102995966.jpg,4.951172374462654,0.0173 s
10316734944.jpg,4.959068972954028,0.0193 s
10319186405.jpg,4.941711229400333,0.0180 s
10319713194.jpg,4.95154894710766,0.0181 s
10325321.jpg,4.716654550165286,0.0231 s
10327985614.jpg,4.843027162726744,0.0259 s
10329149264.jpg,4.881980137738443,0.0220 s
10329235193.jpg,4.470536805567916,0.0180 s
10330831494.jpg,4.936625407396768,0.0205 s
10335072144.jpg,4.311132179272456,0.0205 s
10336689775.jpg,4.906611364825079,0.0222 s
103400056.jpg,4.397814791489563,0.0190 s
10342569703.jpg,4.923324670247743,0.0203 s
10344523015.jpg,4.959445545599035,0.0230 s
10344921126.jpg,5.0,0.0241 s
1034624333.jpg,4.954794552231395,0.0268 s
10346758803.jpg,3.2260024304700186,0.0280 s
10346796664.jpg,4.7498637466926485,0.0221 s
10349956885.jpg,4.751651421108436,0.0243 s
10350497833.jpg,4.956199940475299,0.0202 s
10351189716.jpg,4.930134197149298,0.0200 s
10353620913.jpg,4.918079689917135,0.0209 s
10358252894.jpg,4.763265386177793,0.0224 s
10362672006.jpg,4.178189661185691,0.0254 s
10366373284.jpg,4.75704984623921,0.0265 s
1036840624.jpg,4.966095914173546,0.0234 s
10371125786.jpg,4.904344124132181,0.0226 s
10371211803.jpg,4.75458860569693,0.0224 s
10372323314.jpg,4.407408058179447,0.0200 s
10373546175.jpg,4.938624782603641,0.0199 s
10375167904.jpg,4.889044011776282,0.0203 s
10382843045.jpg,4.9424643746903465,0.0190 s
10387390396.jpg,4.960633519524975,0.0241 s
10387844376.jpg,4.916515143346188,0.0261 s
10388184626.jpg,4.920513893759935,0.0241 s
10395523125.jpg,4.938030795640672,0.0209 s
10397166423.jpg,4.854848645995221,0.0222 s
10397631976.jpg,4.893477590825958,0.0212 s
10399580503.jpg,4.897309378089802,0.0204 s
10403509543.jpg,4.937436808677702,0.0204 s
10407720764.jpg,4.969558933615245,0.0212 s
10408374535.jpg,4.950360973181721,0.0220 s
10408474376.jpg,4.832319787747564,0.0231 s
10409059825.jpg,4.886392393615518,0.0213 s
10410038143.jpg,4.948955584937816,0.0217 s
10412894895.jpg,4.884117348099759,0.0192 s
10414716033.jpg,4.4609979858510345,0.0190 s
10415628976.jpg,4.966095914173546,0.0174 s
10415631353.jpg,4.963661710330745,0.0184 s
104219737.jpg,4.760489451212326,0.0182 s
10422425365.jpg,4.876321651944506,0.0180 s
10422776735.jpg,4.622318769850971,0.0220 s
10423472445.jpg,4.919702492479002,0.0232 s
10429780626.jpg,4.239567293402646,0.0230 s
10430002553.jpg,4.626461068946039,0.0239 s
10430335945.jpg,4.9586341443181,0.0212 s
10440370734.jpg,4.9586341443181,0.0192 s
10442628686.jpg,4.954200565268424,0.0183 s
10446770756.jpg,4.9228898416118145,0.0170 s
10446810546.jpg,4.818149393326683,0.0180 s
10451177016.jpg,4.831943215102555,0.0190 s
10453950204.jpg,4.791924491673639,0.0219 s
10458591.jpg,4.9089951174998205,0.0225 s
10458703674.jpg,4.913863525185423,0.0230 s
10459022813.jpg,4.6738172454257,0.0230 s
10463545414.jpg,4.966095914173546,0.0220 s
10463583515.jpg,4.871034025268697,0.0202 s
10464940425.jpg,4.943493190289244,0.0180 s
10465121613.jpg,4.9013159333264085,0.0180 s
10465293055.jpg,4.532072746167683,0.0190 s
10466350116.jpg,4.504755059397941,0.0219 s
10466453556.jpg,4.961444920805907,0.0230 s
10468110795.jpg,4.862978268450282,0.0250 s
10468540574.jpg,4.827406642420779,0.0254 s
10469774844.jpg,4.920513893759936,0.0254 s
10471406506.jpg,4.749094991756914,0.0203 s
10474002734.jpg,4.480489641059763,0.0213 s
10475435053.jpg,4.880770840639903,0.0190 s
10475658035.jpg,4.9513897887806175,0.0179 s
10481974434.jpg,4.939436183884575,0.0190 s
10486107003.jpg,4.664711349835786,0.0200 s
10490369963.jpg,4.934835641684997,0.0220 s
10491358066.jpg,4.94673879541298,0.0224 s
10491423125.jpg,4.729268202838081,0.0216 s
10492897986.jpg,4.866600446219023,0.0216 s
10505275743.jpg,4.909806518780754,0.0202 s
10506082433.jpg,4.952360348388594,0.0200 s
10512432565.jpg,4.8951003933878265,0.0192 s
10513907744.jpg,4.969500677624323,0.0180 s
10516786036.jpg,4.369611327490608,0.0190 s
10517436165.jpg,4.92791740762446,0.0192 s
10520192995.jpg,4.971558308822119,0.0180 s
10525460645.jpg,4.883451586796128,0.0223 s
10526881085.jpg,4.908618544854814,0.0212 s
10530470795.jpg,4.912399880950598,0.0221 s
10532663625.jpg,4.14400851085303,0.0226 s
10534454676.jpg,4.513940534151376,0.0202 s
10535849673.jpg,4.9406824138014365,0.0190 s
10536668436.jpg,4.901968176280302,0.0219 s
10538085833.jpg,4.943493190289244,0.0196 s
10539008983.jpg,4.934032045226923,0.0190 s
10539142034.jpg,4.838752742004112,0.0200 s
10539341593.jpg,4.566613465302306,0.0242 s
10544775715.jpg,4.947550196693912,0.0232 s
10544833625.jpg,4.928134821942423,0.0221 s
10544945153.jpg,4.911588479669663,0.0220 s
10554234623.jpg,4.8395350152895835,0.0191 s
10556629035.jpg,4.768624787194263,0.0181 s
10558118243.jpg,4.9249474728096105,0.0180 s
105620456.jpg,4.853734537705925,0.0190 s
10567114974.jpg,4.921137008718366,0.0190 s
10567188645.jpg,4.955171124876402,0.0180 s
10568567754.jpg,4.502219953219019,0.0229 s
10569725133.jpg,4.875308445991331,0.0222 s
1057328504.jpg,4.923918657210713,0.0225 s
10574233584.jpg,4.956199940475299,0.0211 s
10575593285.jpg,4.9547945522313945,0.0190 s
10576676414.jpg,4.785889433234696,0.0200 s
10579282866.jpg,4.940030170847545,0.0221 s
1057997640.jpg,4.956199940475298,0.0196 s
10581525775.jpg,4.938030795640673,0.0194 s
10582113466.jpg,4.944898578533148,0.0209 s
10583786994.jpg,4.678809969916006,0.0234 s
10586872235.jpg,4.949984400536714,0.0210 s
10589450596.jpg,4.936466249069725,0.0225 s
1059399148.jpg,4.882393643201769,0.0194 s
10597114264.jpg,4.762671399214825,0.0199 s
10602786066.jpg,4.959445545599034,0.0207 s
10603218265.jpg,4.716755452501406,0.0210 s
10604417276.jpg,4.845533140910207,0.0210 s
10605846204.jpg,4.911805893987628,0.0220 s
10609356094.jpg,4.688178017465065,0.0231 s
10614052044.jpg,4.523205588068333,0.0276 s
10615424764.jpg,5.0,0.0239 s
10617981003.jpg,4.973181111383987,0.0232 s
10619909515.jpg,4.926352861053514,0.0191 s
10620203775.jpg,4.9691241049793184,0.0193 s
10620356404.jpg,4.789888183648444,0.0183 s
1062133952.jpg,4.943710604607208,0.0180 s
10625988224.jpg,4.930807763275788,0.0180 s
10628337356.jpg,4.911312809360778,0.0199 s
10628497685.jpg,4.9229189696072755,0.0192 s
10628645805.jpg,4.7056871145229415,0.0252 s
10631219374.jpg,4.410806224217662,0.0250 s
10631630073.jpg,4.946521381095015,0.0230 s
1063351510.jpg,4.905155525413115,0.0210 s
10633933603.jpg,4.938842196921605,0.0198 s
10635160054.jpg,4.478603989440089,0.0183 s
1063722220.jpg,4.895042137396904,0.0190 s
10642085843.jpg,4.869686893015716,0.0187 s
10644234544.jpg,4.923107255929779,0.0202 s
106456452.jpg,4.938465624276598,0.0199 s
10660362264.jpg,4.954895454567517,0.0222 s
10660571735.jpg,4.923483828574784,0.0225 s
10660620125.jpg,4.936248834751761,0.0233 s
106652866.jpg,4.862681274968796,0.0200 s
10665464526.jpg,4.490173403655287,0.0197 s
10676427864.jpg,4.962256322086842,0.0172 s
1067765170.jpg,4.966095914173546,0.0180 s
10678199353.jpg,4.8491282819794685,0.0185 s
10678350303.jpg,4.941276400764407,0.0172 s
10679134563.jpg,4.953389163987492,0.0160 s
10680153225.jpg,4.930728184112268,0.0200 s
10680502673.jpg,4.67738897202638,0.0225 s
10680715605.jpg,4.950578387499684,0.0211 s
10680932454.jpg,4.859515249008583,0.0210 s
10683218616.jpg,4.652064946936635,0.0200 s
10686332213.jpg,4.9440871772522135,0.0181 s
10689376076.jpg,4.799190170383723,0.0190 s
10689538413.jpg,4.844809123615653,0.0220 s
10689722684.jpg,4.781580170989726,0.0213 s
10690294454.jpg,4.69676170043267,0.0221 s
10692654005.jpg,4.900504532045478,0.0251 s
10692667386.jpg,3.949273760977548,0.0262 s
10692857705.jpg,4.895911794668759,0.0243 s
10693826785.jpg,4.552509131695206,0.0190 s
10694350076.jpg,4.831624898448471,0.0211 s
10698962263.jpg,4.9352200191528635,0.0189 s
10705911926.jpg,4.968530118016347,0.0198 s
10706770686.jpg,4.946521381095014,0.0213 s
10713772814.jpg,4.9440871772522135,0.0219 s
10714662986.jpg,4.313258472891653,0.0260 s
10715577856.jpg,4.92019557710585,0.0260 s
10721124556.jpg,4.862999591622882,0.0257 s
10723077086.jpg,4.703056819534775,0.0254 s
10724461514.jpg,4.961227506487944,0.0220 s
10724889206.jpg,4.9584167300001365,0.0258 s
10728525673.jpg,4.962256322086842,0.0211 s
10730634575.jpg,4.937654222995665,0.0219 s
10732971054.jpg,4.90190992028938,0.0227 s
10733259996.jpg,4.951983775743587,0.0222 s
10737029565.jpg,4.923918657210713,0.0259 s
10740242265.jpg,4.521670169492846,0.0270 s
10740725955.jpg,4.839738911257809,0.0232 s
10740727595.jpg,4.792677636963652,0.0203 s
10745415703.jpg,4.773537932521046,0.0212 s
10745932825.jpg,4.483480388735575,0.0220 s
10747724694.jpg,4.9195277245062385,0.0183 s
107505789.jpg,4.9247300584916465,0.0184 s
10751799554.jpg,4.18240443172008,0.0190 s
1075190309.jpg,4.904619794441067,0.0232 s
10762659033.jpg,4.6974274617363,0.0280 s
10765812585.jpg,4.961068348160902,0.0230 s
10767441335.jpg,4.8535093185650995,0.0255 s
10770026303.jpg,4.89066681433815,0.0226 s
10770700455.jpg,4.819613037561507,0.0203 s
10773126784.jpg,4.936827212069009,0.0200 s
10775358296.jpg,4.963661710330745,0.0206 s
10776111906.jpg,4.888479152808773,0.0216 s
107799222.jpg,4.810528465144193,0.0211 s
10783395635.jpg,4.6355804828856915,0.0252 s
10784159775.jpg,4.953983150950461,0.0252 s
10786271105.jpg,4.669290568862765,0.0270 s
10787038944.jpg,4.54199004303853,0.0206 s
10787258285.jpg,4.959010716963106,0.0190 s
10790803694.jpg,4.329036060228679,0.0190 s
10791502435.jpg,4.934886092853057,0.0186 s
10792125886.jpg,4.92191928200384,0.0173 s
10798439785.jpg,4.9350026048349,0.0190 s
10799367156.jpg,4.371137036734273,0.0204 s
10799853136.jpg,4.447368525617445,0.0242 s
10805317444.jpg,4.867093530845871,0.0232 s
10806677866.jpg,4.943986274916093,0.0223 s
10813730303.jpg,4.918209720248716,0.0211 s
10814874265.jpg,4.936407993078804,0.0191 s
10819001424.jpg,4.943493190289244,0.0212 s
10819132874.jpg,4.680692833141037,0.0201 s
10819329365.jpg,4.935814006115835,0.0196 s
10827568885.jpg,4.630708452969194,0.0196 s
10828147985.jpg,4.95095496014469,0.0209 s
10828395135.jpg,4.910220024244081,0.0220 s
10829329963.jpg,4.956634769111227,0.0233 s
10836905604.jpg,4.764670774421697,0.0220 s
10843403305.jpg,4.236660817793958,0.0232 s
10847909336.jpg,4.957011341756233,0.0180 s
10849117054.jpg,4.939059611239569,0.0177 s
10849700404.jpg,4.950143558863755,0.0172 s
1084984228.jpg,4.961444920805906,0.0190 s
1085590803.jpg,4.944898578533148,0.0180 s
10856434794.jpg,4.936031420433799,0.0172 s
10856757.jpg,4.935220019152864,0.0220 s
10858952303.jpg,4.944304591570177,0.0233 s
10861031374.jpg,4.865195057975119,0.0271 s
10862487886.jpg,4.877684393843209,0.0260 s
10864812016.jpg,4.915152401447483,0.0220 s
10865798996.jpg,4.455301173041455,0.0210 s
10866463396.jpg,4.9390596112395695,0.0208 s
10866561184.jpg,4.851082919545161,0.0210 s
10868390853.jpg,4.215999213125608,0.0239 s
10872249945.jpg,4.932350986674135,0.0260 s
10875461386.jpg,4.915008852766163,0.0239 s
10880314705.jpg,4.910994492706694,0.0235 s
10882856833.jpg,4.938030795640671,0.0212 s
10883456586.jpg,4.972152295785089,0.0190 s
1089100444.jpg,4.95398315095046,0.0192 s
10893404795.jpg,4.79857486024815,0.0192 s
10895044423.jpg,4.955823367830293,0.0182 s
10897840884.jpg,4.96214761492786,0.0180 s
10898287705.jpg,4.918673676880104,0.0203 s
10898689245.jpg,4.897258926921742,0.0252 s
10899733355.jpg,4.434927039309792,0.0230 s
10900020096.jpg,4.628646639179434,0.0210 s
10905088155.jpg,4.9636617103307445,0.0210 s
10905114716.jpg,4.95982211824404,0.0180 s
10906887886.jpg,4.961068348160901,0.0230 s
1090979049.jpg,4.940464999483472,0.0220 s
10910262455.jpg,4.947115368057985,0.0222 s
10911046243.jpg,4.820960169814491,0.0218 s
10911095273.jpg,4.557030094731265,0.0253 s
10912602716.jpg,4.970152920578216,0.0259 s
10915557435.jpg,4.934626032189894,0.0240 s
10917741563.jpg,4.36328828780334,0.0229 s
10921653346.jpg,4.941276400764407,0.0214 s
10921880365.jpg,4.81917820892558,0.0231 s
10923819485.jpg,4.961227506487945,0.0210 s
10925112255.jpg,4.9495495719007865,0.0214 s
10927420963.jpg,4.921542709358833,0.0193 s
109293948.jpg,4.9743690853099265,0.0220 s
10931213005.jpg,4.989510039338782,0.0210 s
10932590295.jpg,4.9016925059714165,0.0222 s
10933722123.jpg,4.710699070889864,0.0202 s
10936496124.jpg,4.908125460227965,0.0211 s
10937404313.jpg,4.853676281715003,0.0190 s
10943636256.jpg,4.911588479669664,0.0189 s
109436362569.jpg,4.941870387727376,0.0170 s
10947519133.jpg,4.937436808677702,0.0174 s
10948257133.jpg,4.932191828347093,0.0203 s
10953973716.jpg,4.867252689172914,0.0233 s
10961758274.jpg,4.947224075216967,0.0280 s
10967023396.jpg,4.95214293407063,0.0253 s
10968711744.jpg,4.873685643429463,0.0222 s
10980930876.jpg,4.870143044824243,0.0220 s
10981006796.jpg,4.919644236488081,0.0220 s
109825878.jpg,4.906126085021092,0.0217 s
10983119996.jpg,4.879683769050084,0.0209 s
10990397626.jpg,4.9121824666326335,0.0220 s
10990887046.jpg,4.856863630847817,0.0230 s
11004139923.jpg,4.508412078689022,0.0235 s
11005410885.jpg,4.960850933842938,0.0261 s
11006895124.jpg,4.9247300584916465,0.0240 s
1100873520.jpg,4.964907940247606,0.0239 s
11009340314.jpg,4.957822743037167,0.0220 s
11010062705.jpg,4.886450649606439,0.0245 s
11013892854.jpg,4.9443045915701775,0.0251 s
11016309165.jpg,4.7901425307847285,0.0241 s
11016485883.jpg,4.94976698621875,0.0262 s
11018079835.jpg,4.899099143801574,0.0301 s
1101948952.jpg,4.740126931321443,0.0223 s
11021514993.jpg,4.530312108451372,0.0258 s
11021929275.jpg,4.75235620652637,0.0232 s
11023346856.jpg,4.7675184837278275,0.0220 s
11031973684.jpg,4.440297543855404,0.0211 s
11033459414.jpg,4.9248387656506285,0.0197 s
110356262.jpg,4.952360348388593,0.0218 s
11035760784.jpg,4.737483117983539,0.0232 s
1103755154.jpg,4.891637373946127,0.0279 s
11051034136.jpg,4.947115368057985,0.0231 s
11051374673.jpg,4.893260176507994,0.0200 s
11051749575.jpg,4.922128891498941,0.0183 s
11054039594.jpg,4.902721321570314,0.0184 s
11054638863.jpg,4.893419334835036,0.0190 s
11054899145.jpg,4.862007708842305,0.0186 s
11054955216.jpg,4.942899203326274,0.0190 s
11058112996.jpg,4.946956209730943,0.0200 s
11060185873.jpg,4.468224316922199,0.0251 s
11061633946.jpg,4.88006034169509,0.0246 s
11062902804.jpg,4.90006970340955,0.0222 s
11063650646.jpg,4.932626656983021,0.0190 s
11068654734.jpg,4.493857646432869,0.0173 s
11071132393.jpg,4.886233235288476,0.0192 s
11078122366.jpg,4.95036097318172,0.0180 s
11079282234.jpg,4.952360348388593,0.0180 s
11081975613.jpg,4.93440861787193,0.0180 s
11087687983.jpg,4.9550119665493595,0.0220 s
11089447095.jpg,4.815874347810923,0.0274 s
11095381506.jpg,4.95036097318172,0.0233 s
11097661494.jpg,4.758020405847185,0.0230 s
11098121724.jpg,4.829551657604955,0.0208 s
11109548195.jpg,4.943493190289245,0.0193 s
11111585533.jpg,4.765858748347638,0.0200 s
11118140253.jpg,4.980425466921469,0.0178 s
11124139926.jpg,4.81209301171514,0.0189 s
11126091314.jpg,4.881683144256958,0.0190 s
11126232436.jpg,4.868005834462926,0.0192 s
11126652126.jpg,4.891361703637242,0.0232 s
11139368236.jpg,4.542984017115087,0.0229 s
11139580153.jpg,4.950143558863756,0.0225 s
11141708043.jpg,4.942899203326276,0.0239 s
11143825565.jpg,4.927164262334448,0.0180 s
11148529964.jpg,4.909371690144827,0.0192 s
11149566996.jpg,4.964473111611679,0.0186 s
11150131936.jpg,4.878654953451187,0.0194 s
11153943035.jpg,4.960474361197932,0.0182 s
11155257336.jpg,4.80263186665282,0.0197 s
11156365526.jpg,4.891637373946127,0.0206 s
11158314215.jpg,4.887797781859422,0.0232 s
11159983896.jpg,4.925106631136653,0.0220 s
11163249414.jpg,4.92193489164956,0.0231 s
11165746213.jpg,4.430247615045354,0.0196 s
11169904264.jpg,4.944898578533149,0.0182 s
11170758174.jpg,4.943493190289243,0.0190 s
11170786154.jpg,4.975607510403927,0.0180 s
11172371243.jpg,5.0,0.0170 s
11175382195.jpg,4.948738170619854,0.0181 s
11175538013.jpg,4.92191928200384,0.0213 s
1117582514.jpg,4.92672943369852,0.0228 s
11183022383.jpg,4.973557684028993,0.0221 s
11201160185.jpg,4.926193702726471,0.0211 s
11208321473.jpg,4.766974947932917,0.0188 s
11209059333.jpg,5.0,0.0186 s
11209188974.jpg,4.2071993232503395,0.0193 s
11209221046.jpg,4.749001894243653,0.0180 s
11209649786.jpg,4.868483309444055,0.0190 s
11215941184.jpg,4.837129939442244,0.0186 s
11216436636.jpg,4.179298566259747,0.0193 s
11218793016.jpg,4.9550119665493595,0.0219 s
11219420725.jpg,4.940841572128479,0.0241 s
11221904805.jpg,4.801009064090953,0.0230 s
11226958966.jpg,4.936842821714732,0.0226 s
11229777185.jpg,4.873860411402227,0.0194 s
11232665444.jpg,4.96750130241745,0.0180 s
11239106136.jpg,4.939871012520503,0.0190 s
11241096796.jpg,4.895143039733025,0.0190 s
11242015725.jpg,4.8930427621900305,0.0200 s
11245083256.jpg,4.84623012150528,0.0194 s
11245781693.jpg,4.707628233738894,0.0230 s
11250215644.jpg,4.93262665698302,0.0209 s
11251138933.jpg,4.951766361425624,0.0211 s
11252383376.jpg,4.722843053404394,0.0211 s
11252644224.jpg,4.851894320826094,0.0192 s
11253432804.jpg,4.966095914173546,0.0181 s
11256485296.jpg,4.938842196921605,0.0180 s
11256776836.jpg,4.952577762706558,0.0180 s
11260247205.jpg,4.904996367086072,0.0190 s
11260270773.jpg,4.752123182562685,0.0180 s
11260385706.jpg,4.7771601102897865,0.0224 s
11262156493.jpg,4.66371166223235,0.0244 s
11264048414.jpg,4.912617295268562,0.0221 s
11268202995.jpg,4.963285137685739,0.0210 s
11269474243.jpg,4.215825839350167,0.0197 s
11269626135.jpg,4.744610961539179,0.0193 s
11270256213.jpg,4.252539307467105,0.0190 s
11270280904.jpg,4.949332157582823,0.0180 s
11273127766.jpg,5.0,0.0170 s
11273190884.jpg,4.581372133159277,0.0191 s
11275584366.jpg,4.941870387727376,0.0220 s
1127644406.jpg,4.923483828574785,0.0241 s
11287273183.jpg,4.938624782603641,0.0230 s
11288559554.jpg,4.921571837354294,0.0230 s
11291450085.jpg,4.860761478925443,0.0200 s
11292980633.jpg,4.86693437251883,0.0190 s
11293176185.jpg,4.962335901250364,0.0180 s
11293946974.jpg,4.912182466632634,0.0180 s
11294894953.jpg,4.951766361425623,0.0180 s
11295475784.jpg,4.955388539194365,0.0170 s
11297504114.jpg,4.53949967450079,0.0232 s
11297570034.jpg,4.531387752987435,0.0242 s
11301386435.jpg,4.929163637541321,0.0214 s
11302087114.jpg,4.9586341443181,0.0212 s
1130601148.jpg,4.8078477189879685,0.0192 s
11307198154.jpg,3.931738351666374,0.0190 s
11310848503.jpg,4.39312737561524,0.0190 s
11316105544.jpg,4.530449943605814,0.0212 s
11320098306.jpg,4.920890466404941,0.0178 s
11321228905.jpg,4.452443941190529,0.0222 s
11324704676.jpg,4.961444920805909,0.0220 s
11325081573.jpg,4.883146788491783,0.0225 s
11327123904.jpg,4.895853538677838,0.0210 s
11333447674.jpg,4.763888501136225,0.0203 s
11333611705.jpg,4.948144183656883,0.0188 s
11333782783.jpg,4.938030795640672,0.0183 s
11335231214.jpg,4.131885341199464,0.0183 s
11338371864.jpg,4.931656097375044,0.0219 s
11339056674.jpg,4.9320326700200505,0.0218 s
11341117543.jpg,4.6342994114464915,0.0202 s
11346267905.jpg,4.922295854648845,0.0221 s
11347140483.jpg,4.9318735116930075,0.0233 s
11353895754.jpg,4.7847014593087565,0.0234 s
11356760053.jpg,4.846214511859558,0.0201 s
113663782.jpg,4.8837699034502124,0.0191 s
11369797883.jpg,4.905155525413115,0.0180 s
113701797.jpg,4.831073557830703,0.0180 s
11370407443.jpg,4.957605328719202,0.0180 s
11372421485.jpg,4.941870387727377,0.0180 s
11378848184.jpg,4.797996482930904,0.0180 s
11381486584.jpg,4.956199940475299,0.0235 s
11382799454.jpg,4.902286492934386,0.0221 s
11389102005.jpg,4.834435674936279,0.0240 s
11389330254.jpg,4.946521381095015,0.0223 s
11393787465.jpg,4.940088426838466,0.0194 s
11396447303.jpg,4.881046510948788,0.0182 s
11399456186.jpg,4.92435348584664,0.0182 s
11404463006.jpg,4.817831076672597,0.0170 s
11406584295.jpg,4.822641228367279,0.0190 s
