image_name,brisque_transformed_mos,niqe_transformed_mos,MOS
10218118033.jpg,4.3821,4.157,3.7944
10221144393.jpg,3.3432,4.0801,1.6818
10224586444.jpg,3.7984,4.5055,2.4608
10226277514.jpg,4.1161,4.1612,2.5943
10226524916.jpg,3.5189,3.6552,1.8224
10227210045.jpg,4.2588,4.2462,3.4563
10241630856.jpg,4.0863,4.4669,3.3396
10241895785.jpg,4.5693,4.3612,3.5728
10244314384.jpg,3.7899,4.3448,2.7767
10246318724.jpg,4.8616,4.191,3.8208
10258169584.jpg,4.5093,3.8949,3.1429
10260190424.jpg,4.5928,4.2463,3.5093
10262588616.jpg,3.6888,4.3885,3.25
10264804094.jpg,3.8846,3.8299,3.7264
10264984793.jpg,3.0036,4.6648,3.495
10265315316.jpg,4.4155,3.8568,3.3137
10265809113.jpg,4.2539,4.0784,3.6699
10273804555.jpg,4.589,4.4459,3.5096
10278246465.jpg,4.4367,3.9017,3.5349
10279904885.jpg,3.1089,4.0049,2.6408
10280683815.jpg,3.2204,4.1034,3.7379
10280835505.jpg,3.5555,3.8577,2.23
10283619534.jpg,4.5446,4.3865,3.69
10287677265.jpg,4.0862,3.857,3.4706
10289468185.jpg,4.1213,4.4207,3.6931
10290759976.jpg,4.5962,4.2188,3.8058
1029470257.jpg,4.2238,4.6483,2.6306
10295875445.jpg,4.3631,3.6943,3.4037
10296038236.jpg,3.7422,4.5676,2.5505
102995966.jpg,2.5077,4.0247,1.625
10316734944.jpg,4.1267,4.2481,3.4653
10319186405.jpg,3.6985,4.1796,3.098
10319713194.jpg,3.1025,4.35,1.2679
10327985614.jpg,4.8155,4.5304,3.7431
10329149264.jpg,4.3404,4.3565,3.7308
10329235193.jpg,2.9786,4.9235,4.0536
10330831494.jpg,4.0053,4.1833,2.7692
10335072144.jpg,3.8701,4.1599,3.243
10336689775.jpg,3.406,4.6408,3.3411
103400056.jpg,4.082,4.8645,3.9615
10342569703.jpg,4.6611,4.2709,2.4369
10344523015.jpg,3.5679,4.2055,2.9259
10344921126.jpg,1.5244,4.0158,1.1468
10346758803.jpg,3.5161,4.557,3.3861
10346796664.jpg,4.7503,4.3382,3.6058
10350497833.jpg,4.2051,4.3916,3.1524
10351189716.jpg,4.2303,4.4619,3.2642
10353620913.jpg,4.08,4.0567,3.0588
10358252894.jpg,4.2291,3.9652,3.3139
10362672006.jpg,4.0994,3.9947,3.8269
1036840624.jpg,3.0496,4.1342,2.125
10371125786.jpg,4.5213,3.7181,2.419
10371211803.jpg,4.3568,4.5141,3.4513
10372323314.jpg,4.2331,4.6596,3.422
10373546175.jpg,3.5988,3.7075,3.1818
10375167904.jpg,4.2682,4.2789,3.1765
10382843045.jpg,3.3867,3.7927,2.7981
10387390396.jpg,3.5493,3.9838,3.6442
10387844376.jpg,4.9285,4.3937,3.4495
10388184626.jpg,4.5057,3.6679,3.81
10395523125.jpg,3.9855,3.8288,3.2376
10397166423.jpg,4.5096,3.8605,3.6422
10397631976.jpg,4.8322,3.8606,3.7009
10399580503.jpg,2.9752,4.4467,3.7788
10403509543.jpg,3.5421,3.5319,3.4808
10407720764.jpg,3.2173,4.1579,2.4369
10408374535.jpg,3.7743,3.7498,2.7944
10408474376.jpg,4.6831,4.4319,3.9633
10409059825.jpg,3.5243,3.8417,3.6604
10410038143.jpg,4.663,4.2657,3.9029
10412894895.jpg,4.3443,3.9348,3.11
10414716033.jpg,4.4072,4.1875,3.6408
10415628976.jpg,2.835,4.2136,1.7686
10415631353.jpg,2.679,3.512,2.5963
10422425365.jpg,4.9389,4.4572,3.7723
10422776735.jpg,4.1496,4.4816,3.5079
10423472445.jpg,4.7511,4.408,3.6091
10429780626.jpg,3.9346,4.4373,3.5625
10430002553.jpg,4.1981,3.9778,3.84
10430335945.jpg,3.4461,4.0251,2.5189
10440370734.jpg,3.5071,4.33,2.4312
10442628686.jpg,3.4823,3.6742,2.5929
10458591.jpg,4.254,3.6614,2.901
10458703674.jpg,4.49,3.9697,2.3529
10459022813.jpg,4.3188,4.4996,3.9626
10463545414.jpg,3.2439,3.8654,3.0092
10463583515.jpg,4.019,4.4257,3.82
10464940425.jpg,4.2493,4.2028,3.5856
10465121613.jpg,4.3026,2.9266,3.2897
10466350116.jpg,4.393,3.8541,3.8214
10466453556.jpg,3.6986,4.1234,2.0566
10468110795.jpg,4.4257,3.4425,3.3113
10468540574.jpg,3.7268,3.8047,3.4851
10469774844.jpg,3.9024,3.4861,3.1545
10471406506.jpg,3.6998,3.4168,2.0708
10474002734.jpg,4.3979,4.6625,3.8302
10475435053.jpg,4.9473,4.6814,3.1495
10475658035.jpg,4.17,4.1564,4.1376
10481974434.jpg,4.3367,4.1538,2.5676
10486107003.jpg,4.2205,4.4821,3.3883
10490369963.jpg,4.0283,3.9901,2.4808
10491358066.jpg,4.1266,3.3689,3.4257
10491423125.jpg,4.4132,3.6008,3.6038
10492897986.jpg,4.8243,4.3299,2.7264
10506082433.jpg,4.1262,4.3899,2.5556
10512432565.jpg,3.737,3.7936,3.5138
10513907744.jpg,3.2344,4.3323,3.1633
10516786036.jpg,4.8143,4.2102,3.8257
10517436165.jpg,4.3818,3.864,2.5905
10520192995.jpg,2.9554,3.7807,3.0472
10525460645.jpg,4.527,4.1355,3.6635
10526881085.jpg,3.9506,3.529,2.6606
10530470795.jpg,4.2137,4.1558,2.4811
10532663625.jpg,4.3321,3.9712,3.5673
10534454676.jpg,4.6046,4.5963,3.6286
10535849673.jpg,4.1305,4.1069,2.8265
10536668436.jpg,4.3482,3.8089,2.3769
10538085833.jpg,4.1269,4.187,2.875
10539008983.jpg,3.8718,3.9914,3.5229
10539142034.jpg,4.4876,4.6024,3.7417
10539341593.jpg,4.6546,4.4104,3.6535
10544775715.jpg,4.142,4.3829,2.75
10544833625.jpg,4.9312,4.27,2.9604
10544945153.jpg,4.454,3.8701,2.8269
10554234623.jpg,4.4184,3.8813,2.9027
10556629035.jpg,4.251,4.8989,3.6471
10558118243.jpg,4.7686,4.2772,3.7679
105620456.jpg,3.6816,3.2281,3.0833
10567114974.jpg,3.8425,3.5957,3.3761
10567188645.jpg,4.0286,4.2279,3.3868
10568567754.jpg,4.0184,4.6976,3.8198
10569725133.jpg,4.0561,4.401,3.7757
1057328504.jpg,4.192,3.9653,2.2571
10574233584.jpg,3.8255,4.2603,2.9109
10575593285.jpg,3.8248,4.0073,3.1845
10576676414.jpg,4.3929,3.7017,3.3701
10579282866.jpg,4.1812,4.5223,3.4107
1057997640.jpg,3.5906,4.2159,2.981
10581525775.jpg,3.8958,4.4683,3.2643
10582113466.jpg,3.897,4.5089,3.1154
10583786994.jpg,2.2049,4.0074,3.2745
10586872235.jpg,3.7208,4.1283,2.566
10589450596.jpg,3.8377,4.1718,3.2778
10597114264.jpg,4.8214,4.4677,3.6571
10602786066.jpg,4.09,3.9648,2.0463
10603218265.jpg,3.9025,4.7395,3.6857
10604417276.jpg,3.6384,4.4895,3.802
10605846204.jpg,4.6349,4.5011,3.5413
10609356094.jpg,4.4097,4.5534,3.4762
10614052044.jpg,4.7118,4.4703,3.8073
10615424764.jpg,2.2593,4.4106,3.6635
10617981003.jpg,2.6681,3.9521,2.4762
10619909515.jpg,3.9176,4.0688,3.2617
10620203775.jpg,3.1824,4.1829,1.8039
10620356404.jpg,4.092,3.6507,3.1698
1062133952.jpg,4.4173,4.6493,3.2252
10625988224.jpg,4.5867,4.695,3.3529
10628337356.jpg,4.6857,4.3987,3.6731
10628497685.jpg,4.8727,4.6516,3.0734
10628645805.jpg,4.3519,4.6908,3.9314
10631219374.jpg,4.4114,4.7238,3.5463
10631630073.jpg,3.6737,4.0821,1.8476
1063351510.jpg,3.7694,4.1005,2.7431
10633933603.jpg,4.4077,4.206,3.1518
10635160054.jpg,4.4867,3.5686,3.4919
1063722220.jpg,4.2349,4.5134,3.036
10642085843.jpg,4.4828,3.7122,3.8318
10644234544.jpg,4.8066,3.8338,3.037
106456452.jpg,3.5731,3.4563,1.99
10660362264.jpg,4.1241,4.179,3.7619
10660571735.jpg,3.1521,4.1075,2.8304
10660620125.jpg,4.7988,4.5041,3.7027
106652866.jpg,4.3,4.2674,2.898
10665464526.jpg,4.5398,4.4549,3.8952
10676427864.jpg,3.3589,4.4752,3.7879
1067765170.jpg,3.3074,4.1835,2.8692
10678199353.jpg,4.6095,4.3184,3.5185
10678350303.jpg,4.3927,4.5573,3.5088
10679134563.jpg,2.1687,4.2791,2.2245
10680153225.jpg,2.267,4.1478,2.6604
10680715605.jpg,3.4347,4.2595,2.4091
10680932454.jpg,4.6468,4.0377,2.9167
10683218616.jpg,3.6099,4.2172,3.6071
10686332213.jpg,3.8568,3.9499,3.1132
10689376076.jpg,4.3959,4.2848,3.1316
10689538413.jpg,4.4068,4.4366,3.7685
10689722684.jpg,4.2267,4.2336,3.8889
10690294454.jpg,3.919,4.6148,3.6239
10692654005.jpg,4.6348,3.9852,3.4673
10692667386.jpg,4.5017,4.3384,3.6019
10692857705.jpg,4.5194,4.203,3.5882
10693826785.jpg,4.1706,4.7183,2.9808
10694350076.jpg,4.5024,4.7538,3.6168
10698962263.jpg,4.0946,3.9844,2.6061
10705911926.jpg,3.6558,4.2876,3.61
10706770686.jpg,4.4316,4.4579,3.7925
10713772814.jpg,4.051,4.041,3.213
10714662986.jpg,4.5714,4.3779,4.0265
10715577856.jpg,4.4956,4.1478,2.6381
10721124556.jpg,4.2176,4.8968,3.1455
10723077086.jpg,4.5974,4.6329,3.5566
10724461514.jpg,3.304,3.9933,3.6574
10724889206.jpg,3.2411,4.0952,3.3571
10728525673.jpg,3.4296,4.2016,3.5481
10730634575.jpg,4.1156,4.2347,3.0769
10732971054.jpg,4.1035,3.6332,2.8922
10733259996.jpg,3.2385,3.7511,3.23
10737029565.jpg,4.6494,4.3949,3.3238
10740242265.jpg,4.6124,4.5652,3.57
10740725955.jpg,3.0751,4.5998,3.9216
10740727595.jpg,4.1459,4.559,3.7431
10745415703.jpg,2.969,3.9901,3.4854
10745932825.jpg,3.7727,4.2852,3.4528
10747724694.jpg,4.8466,3.8662,3.0882
107505789.jpg,4.9281,4.1174,3.1
10751799554.jpg,4.1993,4.6301,3.7059
1075190309.jpg,3.2429,3.9212,2.4818
10762659033.jpg,3.9116,4.4287,2.58
10765812585.jpg,3.84,4.1871,2.6698
10767441335.jpg,4.3399,4.0147,3.7788
10770026303.jpg,4.8734,4.4631,3.6415
10770700455.jpg,4.6406,4.5529,3.2636
10773126784.jpg,4.8878,4.1506,3.8725
10775358296.jpg,3.5135,3.9486,2.4107
107799222.jpg,4.7352,3.535,3.7353
10783395635.jpg,4.0398,3.9767,3.6055
10784159775.jpg,3.9744,3.8524,3.8333
10786271105.jpg,4.5164,4.222,3.4909
10787038944.jpg,4.542,4.2767,3.25
10787258285.jpg,3.3177,4.173,3.6818
10790803694.jpg,4.5562,4.2856,3.6357
10791502435.jpg,4.2842,4.1159,3.7
10792125886.jpg,4.6919,3.8067,3.5116
10798439785.jpg,4.9034,4.3026,3.1373
10799367156.jpg,4.2488,4.5183,3.7524
10799853136.jpg,4.414,4.1623,3.4953
10805317444.jpg,4.5193,4.4468,2.9802
10806677866.jpg,4.2135,4.0592,3.2524
10813730303.jpg,3.6376,3.486,2.4323
10819001424.jpg,3.3377,2.3797,1.8173
10819132874.jpg,4.515,4.7739,3.6699
10819329365.jpg,4.2169,4.1583,3.1584
10827568885.jpg,4.4335,4.2143,3.8349
10828147985.jpg,3.4248,4.2233,2.9907
10828395135.jpg,4.6992,3.7213,3.7009
10829329963.jpg,4.2835,4.2091,3.729
10836905604.jpg,4.501,3.8118,3.7282
10843403305.jpg,4.3903,4.5149,3.5192
10847909336.jpg,3.1536,4.0223,1.9519
10849117054.jpg,4.0128,3.9516,3.0926
10849700404.jpg,3.8427,4.1906,3.6168
1084984228.jpg,3.2544,4.1986,2.3148
1085590803.jpg,4.3151,4.2899,1.9048
10856434794.jpg,4.4572,4.1967,2.6195
10856757.jpg,3.8576,3.6935,2.1927
10858952303.jpg,2.9147,3.9622,2.6321
10861031374.jpg,4.492,4.4231,3.4038
10862487886.jpg,4.6484,4.1777,3.3364
10864812016.jpg,4.725,4.1372,3.0472
10865798996.jpg,4.5521,4.6559,3.85
10866463396.jpg,4.593,4.1381,3.4519
10866561184.jpg,4.6016,4.1622,3.8667
10868390853.jpg,4.6757,4.1699,3.6615
10872249945.jpg,4.4241,3.6168,3.8667
10875461386.jpg,4.2674,4.1437,3.028
10882856833.jpg,4.9209,3.8611,3.2778
10883456586.jpg,2.6186,4.0235,2.0962
1089100444.jpg,3.7637,4.0844,3.3396
10893404795.jpg,4.6244,4.4998,2.42
10895044423.jpg,3.7229,4.1169,2.2477
10897840884.jpg,4.5757,4.3309,3.7642
10898287705.jpg,4.8035,4.2613,2.6822
10898689245.jpg,4.7244,4.3927,3.3661
10899733355.jpg,4.6036,4.5264,3.6279
10900020096.jpg,4.7107,4.3455,3.5094
10905088155.jpg,3.1916,4.0116,3.3333
10905114716.jpg,3.2069,3.5818,2.8571
10906887886.jpg,3.5444,4.0029,2.5784
1090979049.jpg,3.5769,2.8136,3.0926
10910262455.jpg,3.9791,4.3853,2.6095
10911046243.jpg,4.1314,4.3227,3.767
10911095273.jpg,3.9722,3.8415,3.6636
10912602716.jpg,3.5571,4.0958,3.6692
10915557435.jpg,3.8445,4.246,2.5048
10917741563.jpg,4.2818,4.2132,3.6792
10921653346.jpg,3.8923,4.435,4.0459
10921880365.jpg,4.6686,4.4463,3.5333
10923819485.jpg,3.367,4.2111,2.5607
10925112255.jpg,3.6788,4.1327,1.898
10927420963.jpg,4.3673,4.416,3.4685
10931213005.jpg,1.8918,4.0889,2.7196
10932590295.jpg,4.0482,3.6356,2.4352
10933722123.jpg,4.1205,3.3274,2.9817
10936496124.jpg,4.8987,4.4367,3.2745
10947519133.jpg,4.4605,4.3041,3.6571
10948257133.jpg,4.5058,4.1308,2.5728
10953973716.jpg,3.7206,4.3171,3.6699
10961758274.jpg,3.2553,4.2277,3.7944
10967023396.jpg,3.4942,4.0936,3.0952
10968711744.jpg,4.4305,4.3886,3.9038
10980930876.jpg,4.525,4.5394,3.6449
10981006796.jpg,3.3541,2.207,1.7071
109825878.jpg,4.1729,3.9594,2.3962
10983119996.jpg,4.2742,4.3457,3.0693
10990397626.jpg,4.0606,3.4323,2.3519
10990887046.jpg,4.6121,3.5904,3.0685
11005410885.jpg,3.766,4.1126,3.0531
11006895124.jpg,4.6628,3.901,3.3883
1100873520.jpg,3.1346,4.0638,2.8505
11009340314.jpg,2.8415,3.8875,3.3431
11010062705.jpg,4.9042,3.9275,3.4851
11013892854.jpg,3.0574,3.822,2.0541
11016309165.jpg,4.5298,3.4381,3.2952
11016485883.jpg,3.831,4.4695,3.5234
11018079835.jpg,3.8263,4.2276,3.8182
11021514993.jpg,4.3102,3.8752,3.48
11021929275.jpg,4.6197,4.354,3.6535
11023346856.jpg,4.685,4.1066,3.2692
11031973684.jpg,4.4899,4.3588,3.6847
11033459414.jpg,3.5208,4.449,3.4078
110356262.jpg,3.9568,4.0439,2.3585
1103755154.jpg,4.2257,4.6874,3.6757
11051034136.jpg,4.1523,4.2202,3.4259
11051374673.jpg,4.0833,3.49,3.27
11051749575.jpg,3.9031,3.6139,3.26
11054039594.jpg,4.4593,3.713,2.5981
11054638863.jpg,4.5656,4.3518,3.2255
11054899145.jpg,4.534,3.9412,3.6909
11054955216.jpg,4.2326,4.2183,2.4057
11058112996.jpg,3.5438,3.9737,2.2762
11060185873.jpg,3.3994,4.5349,3.3964
11061633946.jpg,4.1288,4.2843,2.4038
11062902804.jpg,4.3195,4.3396,3.6168
11063650646.jpg,4.6485,4.0918,3.215
11068654734.jpg,1.0058,4.2261,3.4078
11078122366.jpg,3.9303,3.9047,3.6095
11079282234.jpg,4.0522,4.2995,3.7132
11081975613.jpg,4.8131,4.2803,3.5392
11087687983.jpg,4.6986,4.226,3.8739
11089447095.jpg,3.7739,2.9878,3.4206
11095381506.jpg,4.4161,4.2457,3.87
11097661494.jpg,4.8436,4.3731,3.6827
11098121724.jpg,4.7455,4.7147,3.6636
11109548195.jpg,3.9892,3.653,3.271
11111585533.jpg,4.3169,4.2615,4.0642
11118140253.jpg,2.8573,3.9981,3.6058
11124139926.jpg,4.5912,4.0997,2.7905
11126091314.jpg,4.4616,3.9081,2.6408
11126232436.jpg,4.3008,3.6153,2.932
11126652126.jpg,4.0094,3.9955,3.0291
11139368236.jpg,4.2207,4.3416,3.5818
11139580153.jpg,4.6572,4.3205,2.6733
11143825565.jpg,4.2521,4.1716,3.3211
11148529964.jpg,4.4832,4.4596,3.0992
11149566996.jpg,3.0365,4.0741,2.8137
11150131936.jpg,4.0253,3.2266,3.2804
11153943035.jpg,3.7117,4.2539,3.1735
11155257336.jpg,1.5705,3.7715,3.0741
11156365526.jpg,3.9295,4.2024,2.8148
11158314215.jpg,4.6165,4.1879,2.6822
11159983896.jpg,4.9718,4.724,3.6038
11163249414.jpg,3.3378,4.5235,3.4124
11165746213.jpg,4.693,4.5529,3.4563
11169904264.jpg,3.9766,3.8271,3.4811
11170758174.jpg,3.3549,4.261,3.25
11170786154.jpg,2.9537,4.3152,3.5185
11172371243.jpg,2.4158,3.8643,3.7723
11175382195.jpg,3.6916,4.0828,2.8214
11175538013.jpg,4.0311,4.0228,3.6667
11183022383.jpg,3.0024,4.0861,2.6286
11201160185.jpg,4.9102,4.3122,3.243
11208321473.jpg,4.8351,3.8623,3.5673
11209059333.jpg,3.8133,4.2192,3.1944
11209188974.jpg,4.0905,4.183,3.4476
11209221046.jpg,4.6892,4.3621,3.1443
11209649786.jpg,4.3004,3.9364,3.4423
11215941184.jpg,4.3154,4.5619,3.6286
11216436636.jpg,4.5104,4.3619,3.6667
11218793016.jpg,3.502,4.1591,3.2315
11219420725.jpg,4.1653,4.5157,3.6535
11221904805.jpg,4.8107,4.428,3.7358
11226958966.jpg,4.136,4.3634,3.7544
11229777185.jpg,4.1711,3.6986,3.3796
11232665444.jpg,3.4461,3.998,2.1927
11239106136.jpg,3.832,4.0449,2.9928
11241096796.jpg,4.4169,4.3914,3.5701
11242015725.jpg,4.3727,4.1316,3.3663
11245083256.jpg,4.7486,4.004,3.3761
11245781693.jpg,4.6535,4.4835,3.5149
11250215644.jpg,4.3946,4.0252,3.5926
11251138933.jpg,4.1152,4.1695,3.514
11252644224.jpg,4.1431,3.6457,3.3398
11253432804.jpg,3.2719,4.0194,3.25
11256485296.jpg,3.4971,4.203,3.2115
11256776836.jpg,3.7116,3.9547,3.5636
11260247205.jpg,4.3669,4.3126,3.82
11260270773.jpg,4.5136,4.2241,3.6765
11260385706.jpg,4.328,4.5397,3.6214
11262156493.jpg,4.8402,4.6684,3.7984
11264048414.jpg,4.5198,3.5037,1.7963
11268202995.jpg,2.723,4.0522,2.5963
11269474243.jpg,4.1361,4.7232,3.7475
11269626135.jpg,4.8728,4.4659,3.8835
11270256213.jpg,4.8095,4.4715,3.4476
11270280904.jpg,3.2525,4.0282,2.2571
11273127766.jpg,2.451,4.297,3.8654
11275584366.jpg,4.0156,4.2186,2.8095
11287273183.jpg,4.2436,4.6292,3.7358
11291450085.jpg,4.706,4.0366,3.0849
11293176185.jpg,3.2971,4.1093,3.2718
11293946974.jpg,4.5949,4.3616,3.703
11294894953.jpg,3.7352,4.3535,3.1712
11295475784.jpg,4.186,4.2807,2.835
11297504114.jpg,3.4763,4.5923,3.0792
11297570034.jpg,3.4412,4.7027,3.0577
11302087114.jpg,3.2397,4.3888,3.5727
1130601148.jpg,4.8426,4.4411,3.6449
11307198154.jpg,4.3039,4.5976,3.86
11316105544.jpg,3.9635,4.4512,3.8532
11320098306.jpg,3.779,4.4114,2.9352
11321228905.jpg,4.1098,4.6853,3.8411
11324704676.jpg,3.871,4.0316,2.8649
11327123904.jpg,4.4447,4.6603,3.6238
11333447674.jpg,4.3422,4.002,3.8624
11333611705.jpg,4.2918,4.3368,3.2523
11333782783.jpg,4.1252,4.7744,3.5741
11335231214.jpg,4.2442,4.5268,3.4476
11338371864.jpg,4.7437,4.4467,3.4412
11339056674.jpg,4.2881,3.5547,3.4095
11341117543.jpg,4.5941,3.9886,3.1919
11347140483.jpg,4.051,3.8147,3.0541
11356760053.jpg,3.9904,3.9644,3.68
113663782.jpg,4.1098,4.1547,3.5455
11369797883.jpg,4.992,4.4495,3.74
113701797.jpg,4.1834,3.6213,2.8095
11370407443.jpg,3.1879,3.8835,2.7075
11372421485.jpg,3.8019,3.4137,3.3431
11378848184.jpg,4.6482,4.4165,3.3486
11381486584.jpg,3.9451,4.0351,2.9727
11382799454.jpg,4.9755,4.6866,3.7129
11389102005.jpg,3.9549,3.7915,3.233
11389330254.jpg,3.8952,4.4933,3.3654
11393787465.jpg,3.9692,3.7685,1.7905
11396447303.jpg,4.8973,4.7831,2.8365
11399456186.jpg,4.6805,4.3921,3.3077
11404463006.jpg,4.4087,3.8087,2.9904
11406584295.jpg,4.5059,3.7337,3.1238
11407368256.jpg,4.333,3.7687,3.6696
11407704456.jpg,4.4556,4.1107,3.6117
11407835876.jpg,4.0858,3.8568,3.1912
11407862453.jpg,4.2741,3.7639,3.6273
11408091114.jpg,4.0946,3.935,3.5463
11408307524.jpg,4.114,4.2677,3.3832
11408357925.jpg,3.9472,4.1017,3.1481
11408443745.jpg,4.0541,4.1497,3.31
11410644126.jpg,3.6328,3.6868,3.3178
11410690075.jpg,3.4054,4.0102,3.5288
11414474354.jpg,2.9352,4.1083,1.7115
11414784395.jpg,3.3129,4.0242,3.513
11416241303.jpg,4.3736,3.8849,3.4505
11419816946.jpg,4.5347,4.6937,3.7438
11424871693.jpg,2.4785,4.407,2.4167
11426976205.jpg,3.8997,4.6567,2.3423
11432746805.jpg,4.6815,3.4648,3.4071
11433127464.jpg,4.8341,4.155,3.0
11433593823.jpg,4.3591,4.2641,3.3019
11436378704.jpg,4.4901,4.7614,3.932
11436390143.jpg,4.5383,4.269,3.5728
11436508006.jpg,4.7347,4.6725,3.3223
11437542656.jpg,4.1882,3.9908,3.1111
11438612393.jpg,3.5938,4.0211,2.2143
11439591215.jpg,3.978,4.128,2.1881
11446005074.jpg,4.7245,4.4783,3.8981
11452299875.jpg,3.5251,4.3536,3.781
11453100924.jpg,4.7004,4.1936,3.8879
11456199025.jpg,3.7349,4.1655,2.2843
11459826225.jpg,4.4311,3.9775,3.3028
11460414725.jpg,4.2383,4.1955,3.5294
11461273913.jpg,4.6846,4.5299,3.6154
11474376103.jpg,3.5257,4.3084,2.9464
11476172786.jpg,3.7751,4.5611,3.6931
11477250346.jpg,4.4794,4.0795,3.8155
11484412296.jpg,4.9416,4.5491,3.2407
11490304024.jpg,3.1277,4.2932,2.9626
11495616074.jpg,3.961,3.7242,2.3679
11498400544.jpg,4.2911,3.9191,2.9
11499073263.jpg,3.5989,4.1435,2.1284
11501016504.jpg,3.5089,4.1696,3.1143
11501322724.jpg,4.5805,4.0333,3.7909
11503076944.jpg,4.3412,4.5577,3.8218
11504259765.jpg,3.0655,3.7916,2.6311
11504601393.jpg,3.6833,3.8076,2.9434
11506037556.jpg,3.5631,4.2203,2.9338
11509515706.jpg,3.0111,3.8445,2.354
11511265293.jpg,3.9233,4.7104,1.875
11514342335.jpg,4.5948,4.1152,3.6602
11515148456.jpg,4.536,4.5979,3.3396
11518631385.jpg,4.7727,4.4239,2.243
11520125355.jpg,4.8853,4.7289,3.4757
11521791886.jpg,3.6469,3.7498,2.9423
11522920033.jpg,4.1965,4.4026,3.1442
11522984926.jpg,3.3784,3.9626,2.5899
11523093675.jpg,3.0118,4.435,3.6887
1152554814.jpg,3.5228,4.0467,2.4206
11527524903.jpg,3.8799,4.1646,2.29
