image_name,brisque,MOS_zscore_transformed_to_brisque_scale,niqe_transformed_to_brisque_scale
101601008.jpg,18.1287,38.9125,8.3586
10164654253.jpg,18.9269,47.078,37.959
10164842933.jpg,12.6503,23.3063,22.6013
10169304416.jpg,4.5991,19.1283,6.5832
10173544123.jpg,19.8926,34.8944,20.0659
10177270623.jpg,23.2535,40.5199,25.9127
10177793964.jpg,6.01,31.4782,17.1873
10178112894.jpg,9.2783,59.7414,9.6866
10178914656.jpg,20.6189,30.2009,8.2563
10183769356.jpg,38.3772,29.9527,13.683
10186643874.jpg,17.4706,48.4268,21.8028
10186680555.jpg,27.0347,44.6638,38.8097
10186832194.jpg,40.8588,42.4181,21.0495
10187102065.jpg,16.4314,61.2857,24.433
10187522803.jpg,29.4161,31.5398,13.615
10191607755.jpg,34.4139,20.5885,11.2525
10196228605.jpg,8.5707,36.1959,5.629
10203647273.jpg,9.0686,26.4979,12.9706
10205220286.jpg,37.8143,70.7361,28.0079
10207172624.jpg,3.5974,37.4656,11.4624
10209014225.jpg,30.087,35.1589,9.1953
10209917915.jpg,42.7547,53.0903,26.8897
10211880874.jpg,38.6758,64.9513,19.0239
10213881683.jpg,35.5354,62.8768,21.1069
10218118033.jpg,15.4463,24.334,21.076
10221144393.jpg,41.4191,81.7244,22.9982
10224586444.jpg,30.041,62.025,12.3618
10226277514.jpg,22.0973,56.7838,20.9705
10226524916.jpg,37.0286,79.3784,33.6189
10227210045.jpg,18.5295,29.5755,18.8443
10241630856.jpg,22.8437,36.3427,13.3264
10241895785.jpg,10.7679,32.9263,15.9702
10244314384.jpg,30.2523,52.4518,16.3794
10246318724.jpg,3.4595,25.6419,20.2245
10258169584.jpg,12.2676,42.7697,27.6287
10260190424.jpg,10.1794,31.1348,18.8418
10262588616.jpg,32.7802,38.5514,15.2863
10264804094.jpg,27.885,23.3504,29.2523
10264984793.jpg,49.9104,33.9,8.3799
10265315316.jpg,14.6114,37.0486,28.5811
10265809113.jpg,18.6536,26.2232,23.0395
10273804555.jpg,10.2761,31.6974,13.8513
10278246465.jpg,14.0832,29.1584,27.4572
10279904885.jpg,47.2787,55.9599,24.8777
10280683815.jpg,44.4911,22.575,22.4142
10280835505.jpg,36.112,68.7743,28.5566
10283619534.jpg,11.3841,22.0259,15.3369
10287677265.jpg,22.8458,35.8728,28.574
10289468185.jpg,21.9681,26.475,14.4821
10290759976.jpg,10.0957,22.0743,19.5292
1029470257.jpg,19.4057,56.9038,8.7932
10295875445.jpg,15.9235,37.437,32.6437
10296038236.jpg,31.4453,59.3562,10.81
102995966.jpg,62.3068,83.5399,24.3821
10316734944.jpg,21.8332,32.6944,18.7969
10319186405.jpg,32.5368,44.4459,20.5107
10319713194.jpg,47.4383,92.0085,16.2501
10327985614.jpg,4.6119,24.8973,11.7388
10329149264.jpg,16.4902,28.0203,16.0878
10329235193.jpg,50.5349,15.8708,1.9121
10330831494.jpg,24.8678,51.4679,20.4175
10335072144.jpg,28.2481,37.8389,21.0019
10336689775.jpg,39.849,34.8189,8.98
103400056.jpg,22.9493,22.1375,3.3876
10342569703.jpg,8.4732,61.3919,18.2282
10344523015.jpg,35.8022,47.4737,19.8613
10344921126.jpg,86.8889,95.5336,24.6051
10346758803.jpg,37.0978,36.4664,11.0742
10346796664.jpg,6.2415,29.3496,16.5447
10350497833.jpg,19.8713,41.7394,15.2112
10351189716.jpg,19.2432,38.9812,13.4523
10353620913.jpg,22.9995,43.2929,23.5833
10358252894.jpg,19.2734,35.5385,25.8706
10362672006.jpg,22.5142,24.181,25.1313
1036840624.jpg,48.7599,71.6618,21.6455
10371125786.jpg,11.9669,61.7549,32.0472
10371211803.jpg,16.0791,33.6188,12.1478
10372323314.jpg,19.1725,34.6639,8.5089
10373546175.jpg,35.0296,38.0461,32.3132
10375167904.jpg,18.2943,37.592,18.0278
10382843045.jpg,40.3326,51.3652,30.1829
10387390396.jpg,36.2665,25.6583,25.4043
10387844376.jpg,1.7872,34.3866,15.1565
10388184626.jpg,12.3569,21.4197,33.3036
10395523125.jpg,25.362,39.4931,29.2808
10397166423.jpg,12.2597,26.0642,28.4881
10397631976.jpg,4.1947,26.2752,28.4855
10399580503.jpg,50.6198,23.3628,13.8325
10403509543.jpg,36.4487,31.9882,36.7029
10407720764.jpg,44.5664,61.3738,21.0527
10408374535.jpg,30.6434,51.0783,31.2561
10408474376.jpg,7.9224,18.5105,14.203
10409059825.jpg,36.8917,26.8487,28.9571
10410038143.jpg,8.4258,21.8341,18.3581
10412894895.jpg,16.3925,42.5878,26.6288
10414716033.jpg,14.8207,28.9122,20.3117
10415628976.jpg,54.1242,79.9131,19.6595
10415631353.jpg,58.0238,56.9181,37.2002
10422425365.jpg,1.5284,27.4276,13.5709
10422776735.jpg,21.2589,30.228,12.9591
10423472445.jpg,6.2232,27.4295,14.8006
10429780626.jpg,26.634,27.9714,14.0673
10430002553.jpg,20.0483,22.4794,25.5554
10430335945.jpg,38.8483,60.0259,24.372
10440370734.jpg,37.3232,60.7564,16.7512
10442628686.jpg,37.9433,58.4189,33.1461
10458591.jpg,18.649,48.5128,33.4644
10458703674.jpg,12.75,61.8385,25.7574
10459022813.jpg,17.0299,20.0357,12.5096
10463545414.jpg,43.9034,44.9555,28.3647
10463583515.jpg,24.5258,23.3026,14.3567
10464940425.jpg,18.7671,28.6149,19.9295
10465121613.jpg,17.4346,38.4276,51.8346
10466350116.jpg,15.1753,22.7756,28.6467
10466453556.jpg,32.5345,71.1996,21.9153
10468110795.jpg,14.3584,38.5246,38.9384
10468540574.jpg,31.8311,32.925,29.8818
10469774844.jpg,27.439,40.3966,37.8463
10471406506.jpg,32.506,71.7115,39.5809
10474002734.jpg,15.0525,19.2254,8.4364
10475435053.jpg,1.3175,42.1513,7.9647
10475658035.jpg,20.7499,16.775,21.0906
10481974434.jpg,16.5816,57.5385,21.1562
10486107003.jpg,19.4864,32.0069,12.947
10490369963.jpg,24.2917,60.9459,25.2485
10491358066.jpg,21.8359,35.55,40.7786
10491423125.jpg,14.6707,27.5,34.9793
10492897986.jpg,4.3937,55.3716,16.753
10506082433.jpg,21.8453,58.0556,15.2521
10512432565.jpg,31.5751,31.8214,30.1601
10513907744.jpg,44.1396,40.5688,16.6918
10516786036.jpg,4.6415,26.0563,19.7454
10517436165.jpg,15.4538,57.5348,28.3999
10520192995.jpg,51.1151,44.837,30.4826
10525460645.jpg,11.8251,28.0347,21.6114
10526881085.jpg,26.2339,55.5402,36.7748
10530470795.jpg,19.658,61.2432,21.1046
10532663625.jpg,16.6974,29.7434,25.7194
10534454676.jpg,9.8848,28.9109,10.0933
10535849673.jpg,21.7366,52.0444,22.3272
10536668436.jpg,16.295,63.4568,29.7778
10538085833.jpg,21.8263,47.3289,20.3256
10539008983.jpg,28.2043,28.9845,25.2162
10539142034.jpg,12.8107,21.8191,9.941
10539341593.jpg,8.6338,24.975,14.7391
10544775715.jpg,21.4498,51.9357,15.4268
10544833625.jpg,1.7203,49.4243,18.2504
10544945153.jpg,13.6512,49.1765,28.2475
10554234623.jpg,14.5411,48.3908,27.9671
10556629035.jpg,18.7249,26.7179,2.5276
10558118243.jpg,5.7853,24.2,18.071
105620456.jpg,32.9607,44.1375,44.2983
10567114974.jpg,28.9383,35.1522,35.1064
10567188645.jpg,24.286,35.8424,19.3014
10568567754.jpg,24.5398,24.8217,7.5612
10569725133.jpg,23.5964,25.6991,14.9741
1057328504.jpg,20.1991,68.5045,25.8684
10574233584.jpg,29.3628,48.289,18.4935
10575593285.jpg,29.3793,40.7874,24.8172
10576676414.jpg,15.1782,33.5893,32.4585
10579282866.jpg,20.4707,36.6818,11.9433
1057997640.jpg,35.2361,47.2241,19.6035
10581525775.jpg,27.6062,36.6233,13.292
10582113466.jpg,27.5749,41.8393,12.2786
10583786994.jpg,69.8775,39.8119,24.8161
10586872235.jpg,31.9805,58.3611,21.793
10589450596.jpg,29.0566,35.4226,20.7041
10597114264.jpg,4.4638,27.1071,13.3073
10602786066.jpg,22.7504,72.2395,25.879
10603218265.jpg,27.4387,28.1384,6.5116
10604417276.jpg,34.039,22.6307,12.7628
10605846204.jpg,9.128,29.5379,12.4729
10609356094.jpg,14.7584,33.0,11.1651
10614052044.jpg,7.2053,25.3792,13.2417
10615424764.jpg,68.5164,25.8096,14.735
10617981003.jpg,58.2986,59.6824,26.1973
10619909515.jpg,27.0592,39.2225,23.279
10620203775.jpg,45.4396,79.1389,20.4267
10620356404.jpg,22.7009,43.5457,33.7318
1062133952.jpg,14.5681,39.0127,8.7663
10625988224.jpg,10.332,33.1557,7.6253
10628337356.jpg,7.858,24.5958,15.0333
10628497685.jpg,3.1828,45.0522,8.7106
10628645805.jpg,16.2032,16.4191,7.7288
10631219374.jpg,14.716,28.2857,6.9052
10631630073.jpg,33.1568,78.5884,22.9466
1063351510.jpg,30.7653,52.8846,22.4867
10633933603.jpg,14.8078,41.1102,19.8495
10635160054.jpg,12.8317,30.2951,35.786
1063722220.jpg,19.1269,43.9767,12.1658
10642085843.jpg,12.9306,25.1625,32.1946
10644234544.jpg,4.834,45.271,29.1547
106456452.jpg,35.6727,74.7273,38.5932
10660362264.jpg,21.8977,22.1068,20.5252
10660571735.jpg,46.1983,52.2978,22.3126
10660620125.jpg,5.029,26.2102,12.3983
106652866.jpg,17.4998,50.9559,18.3144
10665464526.jpg,11.5061,23.0861,13.627
10676427864.jpg,41.0281,24.1274,13.1188
1067765170.jpg,42.3148,48.825,20.4136
10678199353.jpg,9.7614,29.6389,17.04
10678350303.jpg,15.1817,33.2134,11.0669
10679134563.jpg,70.7813,66.7209,18.0216
10680153225.jpg,68.3247,54.5935,21.3045
10680715605.jpg,39.133,62.7,18.5126
10680932454.jpg,8.8291,48.6062,24.0563
10683218616.jpg,34.7529,30.5609,19.5693
10686332213.jpg,28.58,42.5784,26.2525
10689376076.jpg,15.1014,40.7606,17.8793
10689538413.jpg,14.8303,26.3312,14.0855
10689722684.jpg,19.3323,23.8563,19.1605
10690294454.jpg,27.0239,27.5,9.6312
10692654005.jpg,9.1299,31.8,25.3711
10692667386.jpg,12.4581,28.0967,16.5388
10692857705.jpg,12.0149,31.0321,19.9257
10693826785.jpg,20.7358,46.7243,7.0433
10694350076.jpg,12.4408,26.8714,6.1541
10698962263.jpg,22.6342,60.8894,25.3895
10705911926.jpg,33.6044,29.2156,17.8098
10706770686.jpg,14.2098,23.1481,13.5535
10713772814.jpg,23.725,37.6698,23.9759
10714662986.jpg,10.7152,19.3448,15.5533
10715577856.jpg,12.6104,54.7864,21.3062
10721124556.jpg,19.5608,41.542,2.581
10723077086.jpg,10.0645,28.1471,9.1783
10724461514.jpg,42.4005,27.3369,25.1678
10724889206.jpg,43.9721,36.4817,22.6192
10728525673.jpg,39.2593,31.6974,19.9602
10730634575.jpg,22.1099,41.25,19.1328
10732971054.jpg,22.4126,48.9,34.1701
10733259996.jpg,44.0373,37.6803,31.2213
10737029565.jpg,8.7657,36.9828,15.128
10740242265.jpg,9.6897,30.8807,10.8706
10740725955.jpg,48.1223,22.8518,10.0042
10740727595.jpg,21.3514,27.0875,11.0239
10745415703.jpg,50.7749,30.8611,25.2483
10745932825.jpg,30.6824,35.1154,17.8706
10747724694.jpg,3.8338,41.5613,28.3454
107505789.jpg,1.7965,45.65,22.0648
10751799554.jpg,20.0181,28.0046,9.247
1075190309.jpg,43.9265,61.7303,26.9705
10762659033.jpg,27.2103,57.75,14.2813
10765812585.jpg,28.9993,53.3551,20.3217
10767441335.jpg,16.5033,25.7905,24.6326
10770026303.jpg,3.1652,27.9174,13.4221
10770700455.jpg,8.9853,39.2562,11.1773
10773126784.jpg,2.8051,21.525,21.2348
10775358296.jpg,37.1615,62.2246,26.2839
107799222.jpg,6.6192,26.7273,36.6258
10783395635.jpg,24.0055,28.0084,25.5813
10784159775.jpg,25.6411,25.115,28.6897
10786271105.jpg,12.0888,32.2244,19.449
10787038944.jpg,11.4498,39.5021,18.0822
10787258285.jpg,42.0577,28.1059,20.674
10790803694.jpg,11.0938,26.1436,17.86
10791502435.jpg,17.8955,29.187,22.103
10792125886.jpg,7.7025,28.7776,29.833
10798439785.jpg,2.4148,39.975,17.4349
10799367156.jpg,18.7798,26.4,12.0422
10799853136.jpg,14.6488,30.3014,20.9429
10805317444.jpg,12.0166,48.0619,13.8295
10806677866.jpg,19.6621,39.0946,23.521
10813730303.jpg,34.0601,59.9183,37.8506
10819001424.jpg,41.5565,79.2297,65.5077
10819132874.jpg,12.1254,24.2202,5.6514
10819329365.jpg,19.5785,40.0088,21.0419
10827568885.jpg,14.1624,22.5127,19.6437
10828147985.jpg,39.3806,45.8816,19.4178
10828395135.jpg,7.5201,25.9286,31.9664
10829329963.jpg,17.9117,21.2033,19.7723
10836905604.jpg,12.4756,24.0068,29.7062
10843403305.jpg,15.2416,30.0701,12.1286
10847909336.jpg,46.1599,75.8858,24.442
10849117054.jpg,24.6808,43.1316,26.2098
10849700404.jpg,28.9321,26.9934,20.235
1084984228.jpg,43.6403,65.1681,20.0344
1085590803.jpg,17.1216,75.9442,17.7527
10856434794.jpg,13.5689,55.9625,20.0814
10856757.jpg,28.5608,67.7045,32.6621
10858952303.jpg,52.1323,54.4353,25.9455
10861031374.jpg,12.6993,35.325,14.4219
10862487886.jpg,8.7892,34.6963,20.5571
10864812016.jpg,6.874,43.1152,21.57
10865798996.jpg,11.1968,23.5278,8.6016
10866463396.jpg,10.1752,30.8971,21.5464
10866561184.jpg,9.9604,22.6696,20.9438
10868390853.jpg,8.1077,24.685,20.7537
10872249945.jpg,14.3975,22.9565,34.5805
10875461386.jpg,18.3157,44.6111,21.4075
10882856833.jpg,1.9764,37.9934,28.4722
10883456586.jpg,59.5352,71.1207,24.4125
1089100444.jpg,30.9083,35.3771,22.8892
10893404795.jpg,9.3893,63.1239,12.5041
10895044423.jpg,31.9282,67.5252,22.0779
10897840884.jpg,10.6065,25.1695,16.7286
10898287705.jpg,4.9133,55.7788,18.4684
10898689245.jpg,6.8891,35.8205,15.1827
10899733355.jpg,9.9099,26.0095,11.8394
10900020096.jpg,7.2326,30.6216,16.3627
10905088155.jpg,45.2097,36.286,24.7096
10905114716.jpg,44.828,49.9304,35.4551
10906887886.jpg,36.3902,56.8939,24.9279
1090979049.jpg,35.5765,42.4696,54.6594
10910262455.jpg,25.5213,57.8237,15.3677
10911046243.jpg,21.7157,23.7661,16.9337
10911095273.jpg,25.6961,28.6195,28.9623
10912602716.jpg,36.0722,25.0489,22.6046
10915557435.jpg,28.8865,60.8164,18.851
10917741563.jpg,17.9543,24.0561,19.6694
10921653346.jpg,27.6927,20.3824,14.1245
10921880365.jpg,8.2845,31.4935,13.8423
10923819485.jpg,40.8238,59.1724,19.722
10925112255.jpg,33.0307,77.2075,21.6817
10927420963.jpg,15.8181,35.0449,14.6008
10931213005.jpg,77.7052,52.9375,22.7787
10932590295.jpg,23.7949,61.5855,34.1106
10933722123.jpg,21.9873,46.3109,41.815
10936496124.jpg,2.5332,40.885,14.0833
10947519133.jpg,13.4866,25.3908,17.3977
10948257133.jpg,12.354,57.9071,21.7306
10953973716.jpg,31.9858,27.3514,17.0731
10961758274.jpg,43.6187,24.8193,19.3068
10967023396.jpg,37.6462,44.5203,22.659
10968711744.jpg,14.2386,21.6207,15.286
10980930876.jpg,11.8756,30.6429,11.5154
10981006796.jpg,41.1465,82.2597,69.824
109825878.jpg,20.6782,62.7688,26.0146
10983119996.jpg,18.1459,42.461,16.3579
10990397626.jpg,23.4856,64.2812,39.1931
10990887046.jpg,9.697,41.9235,35.2389
11005410885.jpg,30.8501,44.5084,22.184
11006895124.jpg,8.4302,33.7432,27.4748
1100873520.jpg,46.6341,48.4779,23.4054
11009340314.jpg,53.9633,36.9722,27.8131
11010062705.jpg,2.3961,32.3311,26.8128
11013892854.jpg,48.5647,72.5021,29.4498
11016309165.jpg,11.755,37.3108,39.0471
11016485883.jpg,29.2261,31.8214,13.262
11018079835.jpg,29.3415,23.3397,19.3111
11021514993.jpg,17.2453,32.2568,28.1197
11021929275.jpg,9.5083,27.825,16.1497
11023346856.jpg,7.8753,37.8487,22.3346
11031973684.jpg,12.7516,28.5254,16.0307
11033459414.jpg,36.9798,36.4435,13.7756
110356262.jpg,26.0789,64.075,23.9016
1103755154.jpg,19.3587,26.9359,7.8147
11051034136.jpg,21.1915,34.4682,19.4943
11051374673.jpg,22.9173,37.3851,37.7495
11051749575.jpg,27.4237,37.875,34.6526
11054039594.jpg,13.5172,57.2647,32.1743
11054638863.jpg,10.8607,38.9929,16.2046
11054899145.jpg,11.6507,25.9487,26.4711
11054955216.jpg,19.1855,63.25,19.5413
11058112996.jpg,36.4055,66.4459,25.6579
11060185873.jpg,40.0149,36.9852,11.6272
11061633946.jpg,21.7812,64.2162,17.8932
11062902804.jpg,17.0133,30.0882,16.5099
11063650646.jpg,8.7868,38.9543,22.7058
11068654734.jpg,99.854,31.9306,19.3463
11078122366.jpg,26.7415,30.027,27.3816
11079282234.jpg,23.6952,23.6383,17.5114
11081975613.jpg,4.6716,31.9977,17.9916
11087687983.jpg,7.5346,23.911,19.349
11089447095.jpg,30.6534,33.8176,50.3039
11095381506.jpg,14.5982,23.25,18.8577
11097661494.jpg,3.9097,27.2829,15.6733
11098121724.jpg,6.3631,27.359,7.1326
11109548195.jpg,25.2711,38.4769,33.6745
11111585533.jpg,17.0772,16.1504,18.4614
11118140253.jpg,53.5672,27.1765,25.0463
11124139926.jpg,10.2198,52.7854,22.5076
11126091314.jpg,13.4589,57.4527,27.2976
11126232436.jpg,17.4812,47.7905,34.6165
11126652126.jpg,24.7656,43.3514,25.1128
11139368236.jpg,19.4827,29.4744,16.4601
11139580153.jpg,8.5699,54.675,16.9885
11143825565.jpg,18.6977,37.645,20.7094
11148529964.jpg,12.9194,41.8,13.5093
11149566996.jpg,49.0869,52.6026,23.1467
11150131936.jpg,24.3676,36.0841,44.334
11153943035.jpg,32.2083,39.7222,18.6525
11155257336.jpg,85.7363,41.7126,30.7117
11156365526.jpg,26.7618,52.4118,19.9405
11158314215.jpg,9.5881,53.665,20.3032
11159983896.jpg,0.7041,28.9122,6.8996
11163249414.jpg,41.5548,32.0388,11.9124
11165746213.jpg,7.6743,35.6518,11.1763
11169904264.jpg,25.5858,31.4531,29.3237
11170758174.jpg,41.1276,39.7168,18.475
11170786154.jpg,51.1582,32.3067,17.1206
11172371243.jpg,64.6044,24.1214,28.3913
11175382195.jpg,32.7096,50.5577,22.9308
11175538013.jpg,24.2213,26.3562,24.429
11183022383.jpg,49.9388,56.9324,22.8482
11201160185.jpg,2.2443,37.6803,17.1955
11208321473.jpg,4.1214,27.1529,28.4427
11209059333.jpg,29.6687,39.875,19.5199
11209188974.jpg,22.7378,33.073,20.4244
11209221046.jpg,7.7691,41.25,15.9469
11209649786.jpg,17.489,30.525,26.5896
11215941184.jpg,17.1139,26.5922,10.9523
11216436636.jpg,12.24,25.9079,15.9534
11218793016.jpg,37.449,39.0826,21.0226
11219420725.jpg,20.8677,27.1071,12.1086
11221904805.jpg,4.7332,21.8703,14.3004
11226958966.jpg,21.6,27.0457,15.9142
11229777185.jpg,20.7236,33.9252,32.5349
11232665444.jpg,38.847,67.7332,25.0507
11239106136.jpg,29.1988,43.5828,23.8786
11241096796.jpg,14.5773,30.0438,15.2139
11242015725.jpg,15.6814,36.2847,21.7095
11245083256.jpg,6.2859,38.225,24.9005
11245781693.jpg,8.6621,32.4844,12.9123
11250215644.jpg,15.1348,30.3224,24.37
11251138933.jpg,22.1203,30.7761,20.7618
11252644224.jpg,21.4221,35.4127,33.8575
11253432804.jpg,43.2021,38.7973,24.5143
11256485296.jpg,37.5734,38.0956,19.9248
11256776836.jpg,32.2108,30.4219,26.1325
11260247205.jpg,15.8273,25.2611,17.1856
11260270773.jpg,12.1597,27.6486,19.3969
11260385706.jpg,16.8003,27.2885,11.5082
11262156493.jpg,3.9955,20.0728,8.2889
11264048414.jpg,12.0051,79.1283,37.4085
11268202995.jpg,56.9254,58.2656,23.694
11269474243.jpg,21.5963,25.9392,6.92
11269626135.jpg,3.1798,19.6959,13.3528
11270256213.jpg,4.7631,33.6629,13.2129
11270280904.jpg,43.6879,68.2297,24.2961
11273127766.jpg,63.7251,20.4425,17.5739
11275584366.jpg,24.6102,52.5664,19.5356
11287273183.jpg,18.9103,23.3026,9.2693
11291450085.jpg,7.3503,43.2605,24.0853
11293176185.jpg,42.5714,38.7,22.2676
11293946974.jpg,10.1267,24.0199,15.9592
11294894953.jpg,31.6212,41.3898,16.1633
11295475784.jpg,20.3495,50.5855,17.9825
11297504114.jpg,38.0925,45.1101,10.1936
11297570034.jpg,38.9705,43.4739,7.4316
11302087114.jpg,44.0065,34.4559,15.2791
1130601148.jpg,3.9341,27.6196,13.9715
11307198154.jpg,17.4013,19.2,10.0606
11316105544.jpg,25.9122,22.1375,13.7211
11320098306.jpg,30.525,48.7763,14.7139
11321228905.jpg,22.2547,22.9662,7.8666
11324704676.jpg,28.2238,49.0769,24.2105
11327123904.jpg,13.8824,25.1284,8.4917
11333447674.jpg,16.4448,23.0021,24.9511
11333611705.jpg,17.7057,36.6504,16.5794
11333782783.jpg,21.87,29.6416,5.6406
11335231214.jpg,18.8962,31.0396,11.8311
11338371864.jpg,6.4087,31.1755,13.832
11339056674.jpg,17.7981,32.8366,36.1333
11341117543.jpg,10.1472,38.3149,25.2847
11347140483.jpg,23.7261,46.3109,29.6315
11356760053.jpg,25.2403,26.6422,25.8892
113663782.jpg,22.2547,32.45,21.1314
11369797883.jpg,0.2006,25.9722,13.7632
113701797.jpg,20.4138,51.9062,34.4679
11370407443.jpg,45.3037,52.6565,27.9126
11372421485.jpg,29.9526,34.3142,39.6578
11378848184.jpg,8.7955,35.8665,14.5872
11381486584.jpg,26.3735,48.0562,24.1237
11382799454.jpg,0.6125,27.9289,7.8353
11389102005.jpg,26.1287,39.7079,30.213
11389330254.jpg,27.6203,35.9464,12.6669
11393787465.jpg,25.7705,78.415,30.7882
11396447303.jpg,2.5685,51.9892,5.4221
11399456186.jpg,7.9872,36.7235,15.1984
11404463006.jpg,14.7834,45.8496,29.783
11406584295.jpg,12.3537,44.6689,31.6584
11407368256.jpg,16.6743,27.7115,30.7829
11407704456.jpg,13.6103,27.8164,22.2328
11407835876.jpg,22.8541,38.8929,28.5812
11407862453.jpg,18.1478,29.3496,30.9021
11408091114.jpg,22.6357,31.7588,26.6244
11408307524.jpg,22.1491,33.5739,18.3073
11408357925.jpg,26.3211,41.8093,22.457
11408443745.jpg,23.6478,36.525,21.2583
11410644126.jpg,34.1794,36.3717,32.8304
11410690075.jpg,39.8655,28.6415,24.7445
11414474354.jpg,51.6204,81.4485,22.2937
11414784395.jpg,42.1785,29.0613,24.3948
11416241303.jpg,15.6591,31.6487,27.8785
11419816946.jpg,11.6316,23.8563,7.6583
11424871693.jpg,63.0378,62.187,14.8259
11426976205.jpg,27.507,64.8114,8.5824
11432746805.jpg,7.9628,34.4437,38.379
11433127464.jpg,4.1466,45.8906,21.1256
11433593823.jpg,16.0233,37.0513,18.3965
11436378704.jpg,12.7467,20.6603,5.9653
11436390143.jpg,11.5416,27.5519,18.2756
11436508006.jpg,6.6337,34.8562,8.1871
11437542656.jpg,20.2949,42.3958,25.2297
11438612393.jpg,35.1562,68.0047,24.4715
11439591215.jpg,25.5489,68.8264,21.8004
11446005074.jpg,6.8867,22.5315,13.0413
11452299875.jpg,36.8722,25.5391,16.1608
11453100924.jpg,7.4906,20.9746,20.1601
11456199025.jpg,31.6273,65.4552,20.8613
11459826225.jpg,14.2224,37.125,25.5618
11460414725.jpg,19.0426,28.05,20.1137
11461273913.jpg,7.8842,29.2246,11.7536
11474376103.jpg,36.8573,46.75,17.2897
11476172786.jpg,30.6215,27.375,10.9717
11477250346.jpg,13.0154,22.9978,23.0119
11484412296.jpg,1.4605,36.7358,11.2716
11490304024.jpg,46.8082,45.3026,17.6689
11495616074.jpg,25.9745,62.1696,31.895
11498400544.jpg,17.7224,49.3305,27.0223
11499073263.jpg,35.0282,69.7812,21.4128
11501016504.jpg,37.278,44.5927,20.7598
11501322724.jpg,10.4884,26.6062,24.1683
11503076944.jpg,16.4708,20.9535,11.0578
11504259765.jpg,48.3627,56.4978,30.2093
11504601393.jpg,32.9178,47.6822,29.8092
11506037556.jpg,35.9218,45.7444,19.4928
11509515706.jpg,49.7234,64.2478,28.8864
11511265293.jpg,26.9178,75.7232,7.2393
11514342335.jpg,10.1306,28.0354,22.1203
11515148456.jpg,11.6006,35.5684,10.0527
11518631385.jpg,5.6835,67.7332,14.403
11520125355.jpg,2.8673,34.2522,6.7784
11521791886.jpg,33.8284,48.6161,31.2557
11522920033.jpg,20.0882,42.6724,14.9342
11522984926.jpg,40.5403,55.6173,25.9348
